quarter,level_1,level_2,value
2000-Q1,All Types Private Residential Properties Vacant,Vacant Landed Properties,4378
2000-Q1,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,11410
2000-Q2,All Types Private Residential Properties Available,Available Landed Properties,65814
2000-Q2,All Types Private Residential Properties Available,Available Non-landed Properties,124376
2000-Q2,All Types Private Residential Properties Vacant,Vacant Landed Properties,4200
2000-Q2,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,13016
2000-Q3,All Types Private Residential Properties Available,Available Landed Properties,66036
2000-Q3,All Types Private Residential Properties Available,Available Non-landed Properties,125097
2000-Q3,All Types Private Residential Properties Vacant,Vacant Landed Properties,3951
2000-Q3,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,11221
2000-Q4,All Types Private Residential Properties Available,Available Landed Properties,66027
2000-Q4,All Types Private Residential Properties Available,Available Non-landed Properties,127001
2000-Q4,All Types Private Residential Properties Vacant,Vacant Landed Properties,2866
2000-Q4,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,10475
2001-Q1,All Types Private Residential Properties Available,Available Landed Properties,66084
2001-Q1,All Types Private Residential Properties Available,Available Non-landed Properties,127896
2001-Q1,All Types Private Residential Properties Vacant,Vacant Landed Properties,3028
2001-Q1,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,9554
2001-Q2,All Types Private Residential Properties Available,Available Landed Properties,66163
2001-Q2,All Types Private Residential Properties Available,Available Non-landed Properties,128821
2001-Q2,All Types Private Residential Properties Vacant,Vacant Landed Properties,3295
2001-Q2,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,10617
2001-Q3,All Types Private Residential Properties Available,Available Landed Properties,66231
2001-Q3,All Types Private Residential Properties Available,Available Non-landed Properties,129682
2001-Q3,All Types Private Residential Properties Vacant,Vacant Landed Properties,3624
2001-Q3,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,11194
2001-Q4,All Types Private Residential Properties Available,Available Landed Properties,66212
2001-Q4,All Types Private Residential Properties Available,Available Non-landed Properties,132142
2001-Q4,All Types Private Residential Properties Vacant,Vacant Landed Properties,3779
2001-Q4,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,12428
2002-Q1,All Types Private Residential Properties Available,Available Landed Properties,66134
2002-Q1,All Types Private Residential Properties Available,Available Non-landed Properties,133450
2002-Q1,All Types Private Residential Properties Vacant,Vacant Landed Properties,3474
2002-Q1,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,11604
2002-Q2,All Types Private Residential Properties Available,Available Landed Properties,66359
2002-Q2,All Types Private Residential Properties Available,Available Non-landed Properties,135417
2002-Q2,All Types Private Residential Properties Vacant,Vacant Landed Properties,3947
2002-Q2,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,12820
2002-Q3,All Types Private Residential Properties Available,Available Landed Properties,66404
2002-Q3,All Types Private Residential Properties Available,Available Non-landed Properties,137116
2002-Q3,All Types Private Residential Properties Vacant,Vacant Landed Properties,3698
2002-Q3,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,12765
2002-Q4,All Types Private Residential Properties Available,Available Landed Properties,66490
2002-Q4,All Types Private Residential Properties Available,Available Non-landed Properties,138707
2002-Q4,All Types Private Residential Properties Vacant,Vacant Landed Properties,3700
2002-Q4,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,13754
2003-Q1,All Types Private Residential Properties Available,Available Landed Properties,66961
2003-Q1,All Types Private Residential Properties Available,Available Non-landed Properties,139708
2003-Q1,All Types Private Residential Properties Vacant,Vacant Landed Properties,3158
2003-Q1,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,12632
2003-Q2,All Types Private Residential Properties Available,Available Landed Properties,66939
2003-Q2,All Types Private Residential Properties Available,Available Non-landed Properties,140918
2003-Q2,All Types Private Residential Properties Vacant,Vacant Landed Properties,3175
2003-Q2,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,12534
2003-Q3,All Types Private Residential Properties Available,Available Landed Properties,66987
2003-Q3,All Types Private Residential Properties Available,Available Non-landed Properties,142836
2003-Q3,All Types Private Residential Properties Vacant,Vacant Landed Properties,3179
2003-Q3,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,13755
2003-Q4,All Types Private Residential Properties Available,Available Landed Properties,67092
2003-Q4,All Types Private Residential Properties Available,Available Non-landed Properties,143842
2003-Q4,All Types Private Residential Properties Vacant,Vacant Landed Properties,3245
2003-Q4,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,13094
2004-Q1,All Types Private Residential Properties Available,Available Landed Properties,67290
2004-Q1,All Types Private Residential Properties Available,Available Non-landed Properties,146985
2004-Q1,All Types Private Residential Properties Vacant,Vacant Landed Properties,3369
2004-Q1,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,14702
2004-Q2,All Types Private Residential Properties Available,Available Landed Properties,67424
2004-Q2,All Types Private Residential Properties Available,Available Non-landed Properties,149363
2004-Q2,All Types Private Residential Properties Vacant,Vacant Landed Properties,3046
2004-Q2,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,14912
2004-Q3,All Types Private Residential Properties Available,Available Landed Properties,67586
2004-Q3,All Types Private Residential Properties Available,Available Non-landed Properties,152154
2004-Q3,All Types Private Residential Properties Vacant,Vacant Landed Properties,3172
2004-Q3,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,15517
2004-Q4,All Types Private Residential Properties Available,Available Landed Properties,67638
2004-Q4,All Types Private Residential Properties Available,Available Non-landed Properties,154265
2004-Q4,All Types Private Residential Properties Vacant,Vacant Landed Properties,2761
2004-Q4,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,15155
2005-Q1,All Types Private Residential Properties Available,Available Landed Properties,67627
2005-Q1,All Types Private Residential Properties Available,Available Non-landed Properties,156059
2005-Q1,All Types Private Residential Properties Vacant,Vacant Landed Properties,3367
2005-Q1,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,16423
2005-Q2,All Types Private Residential Properties Available,Available Landed Properties,67666
2005-Q2,All Types Private Residential Properties Available,Available Non-landed Properties,157766
2005-Q2,All Types Private Residential Properties Vacant,Vacant Landed Properties,3415
2005-Q2,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,16192
2005-Q3,All Types Private Residential Properties Available,Available Landed Properties,67746
